station_name,appearance,min_travel_dt,max_travel_dt,short_name,lon,lat
1st & M St NE,625264,2010-09-20 12:26:08,2023-03-01 00:46:19,31603,-77.005483,38.905697
1st & M St SE,84801,2018-09-14 13:45:46,2023-02-28 23:07:06,31650,-77.006072,38.876893
1st & N St  SE,148232,2010-09-20 11:41:22,2021-08-09 12:09:21,,-77.008,38.876
1st & N St SE,28725,2020-04-01 16:27:07,2023-02-28 23:36:04,31209,-77.00575411319733,38.875022735559995
1st & O St NW,130704,2016-04-05 18:46:55,2023-02-28 23:59:26,31519,-77.012365,38.908643
1st & Q St SW,2863,2022-09-01 14:14:36,2023-02-28 21:56:35,31676,-77.01191514730453,38.870823939537914
1st & Rhode Island Ave NW,315358,2011-12-06 09:11:04,2023-02-28 20:49:50,31506,-77.012289,38.915417
1st & S Capitol St SE / Oxon Run Trail,4771,2017-09-29 10:07:38,2023-02-26 08:25:23,31817,-77.005497,38.824481
1st & Washington Hospital Center NW,70851,2012-02-14 12:58:35,2023-02-28 17:53:53,31507,-77.012457,38.928743
1st St & Potomac Ave SE,29661,2020-12-29 16:38:09,2023-02-28 21:45:16,31668,-77.00591,38.871841
20th & Columbia Rd NW,34052,2021-01-12 19:37:17,2023-02-28 22:33:28,31133,-77.045487,38.918036
20th & Crystal Dr,83506,2010-09-20 12:42:14,2018-07-31 23:40:15,,-77.051,38.856
20th & E St NW,275884,2010-09-20 15:17:21,2023-03-01 00:00:10,31204,-77.045,38.8963
20th & L St NW,193910,2012-06-25 10:18:14,2023-02-28 19:04:58,31250,-77.044789,38.903584
20th & O St NW / Dupont South,384275,2012-02-10 17:39:51,2023-02-28 23:21:26,31234,-77.04478,38.908905
20th St & Florida Ave NW,518529,2010-09-20 18:25:44,2023-02-28 23:51:09,31110,-77.0446,38.9154
20th St & Virginia Ave NW,84091,2013-01-31 11:58:16,2023-02-28 19:42:34,31259,-77.045128,38.894722
21st & I St NW,400970,2010-09-20 13:07:31,2023-02-28 23:32:08,31205,-77.04644858837128,38.90071062547463
21st & M St NW,426756,2010-09-20 15:05:48,2020-05-20 23:27:25,,-77.046,38.905
21st St & Constitution Ave NW,160742,2011-09-22 17:10:47,2022-09-27 07:59:34,,-77.046,38.892
21st St & G st NW,50900,2020-11-10 12:49:57,2023-02-28 23:03:56,31328,-77.04691261053085,38.89830173667249
21st St & N Pierce St,12089,2019-03-01 07:05:40,2023-02-28 12:48:42,31093,-77.078317,38.898984
21st St & Pennsylvania Ave NW,185863,2012-06-27 11:10:42,2023-02-28 19:34:19,31252,-77.046564,38.901539
21st St N & N Pierce St,17409,2014-11-26 06:34:44,2019-02-28 20:14:44,,-94.925,29.4
22nd & H  NW (disabled),591,2020-01-01 16:09:44,2020-01-21 10:54:29,,-77.051,38.898
22nd & H St NW,90656,2017-07-13 16:06:25,2023-02-28 23:10:01,31127,-77.04885238395946,38.89892546716842
22nd & I St NW / Foggy Bottom,396666,2012-07-16 09:03:41,2023-02-28 23:05:48,31257,-77.048911,38.90088
22nd & P ST NW,178711,2016-04-19 14:36:24,2023-02-28 23:19:24,31285,-77.048728,38.909394
22nd St & Constitution Ave NW,81681,2016-10-05 13:43:22,2023-02-28 20:53:20,31292,-77.048947,38.892441
23rd & Crystal Dr,79623,2010-09-20 13:55:40,2018-07-31 23:07:21,,-77.050264,38.905303
23rd & E St NW ,192324,2013-01-31 13:59:35,2023-02-28 19:58:49,31260,-77.049882,38.896104
23rd & M St NW,200208,2017-08-01 11:44:34,2023-02-28 23:36:45,31128,-77.050264,38.905303
23rd St S & Hayes St,5426,2020-12-09 16:38:24,2023-02-28 19:01:18,31938,-77.059496,38.853002
24th & N St NW,246417,2012-07-06 16:41:10,2023-02-28 23:38:44,31255,-77.05152,38.9066
24th & R St NE / National Arboretum,38878,2016-09-10 11:13:20,2023-02-28 16:08:46,31520,-76.971923,38.91263
25th St & Pennsylvania Ave NW,442583,2010-10-29 16:36:55,2023-03-01 02:49:49,31237,-77.053485,38.903827
26th & S Clark St,35600,2010-09-20 13:48:32,2019-02-28 16:31:30,,-77.054,38.85
27th & Crystal Dr,79631,2010-09-20 13:20:41,2018-07-31 22:53:46,,-77.053,38.848
28th St & S Meade St,11109,2019-03-01 07:31:06,2023-02-28 19:27:00,31055,-77.069275,38.846222
28th St S & S Meade St,15129,2013-03-28 21:03:49,2019-02-28 21:31:44,,-111.259,47.497
2nd & G St NE,176896,2015-06-18 07:57:19,2023-02-28 23:25:18,31639,-77.003666,38.89967
2nd & V St SW,1,2020-12-23 14:23:31,2020-12-23 14:23:31,,-77.013,38.863
2nd & V St SW / James Creek Marina,14693,2020-12-25 11:07:27,2023-02-28 21:41:01,31667,-77.013814,38.863743
2nd St & Massachusetts Ave NE,178229,2016-05-27 13:22:12,2023-02-28 23:10:46,31641,-77.003135,38.894972
2nd St & Seaton Pl NE,47629,2017-06-01 16:30:11,2023-02-28 21:58:53,31522,-77.00356006622314,38.914751108831155
3000 Connecticut Ave NW / National Zoo,138475,2011-12-21 18:55:14,2023-02-28 20:54:56,31307,-77.055599,38.930282
31st & Water St NW,75340,2017-03-24 08:35:08,2021-04-12 20:55:18,,-77.061,38.902
31st & Woodrow St S,2884,2013-12-17 09:54:46,2019-02-28 18:07:41,,-77.097,38.837
31st St & S Woodrow St,2341,2019-03-05 13:39:55,2023-02-26 16:39:15,31072,-77.0934784,38.8378458
34th & Water St NW,200214,2014-07-09 12:14:29,2023-02-28 23:15:30,31314,-77.0675285,38.9037315
34th St & Minnesota Ave SE,407,2013-06-04 11:21:02,2016-04-11 12:08:16,,-73.994,40.752
34th St & Wisconsin Ave NW,140625,2010-10-15 14:16:13,2023-02-28 18:10:01,31226,-77.0682,38.916442
36th & Calvert St NW / Glover Park,90929,2010-11-08 14:33:29,2023-02-28 23:07:49,31304,-77.070334,38.922581
37th & Ely Pl SE,673,2019-03-05 06:19:57,2023-02-26 13:59:12,31715,-76.949709,38.883011
37th & Ely Pl SE / Fort Dupont Ice Arena,156,2017-09-24 09:50:08,2019-02-05 14:43:53,,-77.07166,38.907837
37th & O St NW / Georgetown University,298277,2010-10-25 16:57:38,2023-02-28 23:24:39,31236,-77.07166,38.907837
39th & Calvert St NW / Stoddert,106029,2012-02-10 14:38:27,2023-02-28 21:20:31,31306,-77.077271,38.922649
39th & Veazey St NW,62841,2013-02-11 16:57:49,2023-02-28 22:00:42,31308,-77.077078,38.943837
3rd & D St SE,274343,2010-09-22 15:18:17,2023-02-28 22:57:05,31605,-77.0023,38.8851
3rd & Elm St NW,176441,2013-07-23 11:02:36,2023-02-28 23:39:48,31118,-77.01597,38.917622
3rd & G St SE,219180,2011-07-17 12:29:00,2023-02-28 22:29:39,31625,-77.001828,38.881185
3rd & H St NE,402037,2010-10-14 18:08:03,2023-02-28 21:02:25,31616,-77.001949,38.900412
3rd & H St NW,266680,2010-09-21 17:00:09,2023-02-28 22:17:53,31604,-77.015289,38.899408
3rd & M St NE,367229,2013-02-15 07:13:04,2023-02-28 23:44:47,,-77.002,38.905
3rd & M St SE,7422,2022-06-30 11:10:11,2023-02-28 22:02:52,31669,-77.002161,38.876823
3rd & M st SE,12862,2021-01-05 18:02:44,2022-06-30 15:14:19,,-77.002,38.876
3rd & N St NE,807,2023-01-03 14:27:59,2023-02-28 22:21:16,31540,-77.002109,38.907073
3rd & Tingey St SE,202814,2013-10-02 07:48:28,2023-02-28 20:47:42,31634,-77.0024,38.87501
3rd & Underwood St NW,13253,2017-03-08 13:03:47,2023-02-28 18:23:57,31413,-77.016574,38.969903
3rd St & Pennsylvania Ave SE,271216,2013-07-23 13:40:27,2023-02-28 22:05:39,31269,-77.001955,38.887378
3rd St & Riggs Rd NE,12709,2016-12-22 17:17:41,2023-02-28 20:59:01,31412,-77.002239,38.957463
41st St & Alabama Ave SE / Fort Davis Rec,7,2023-01-24 15:26:25,2023-02-24 14:26:24,31724,-76.945283,38.870353
47th & Elm St,16063,2013-10-19 17:42:34,2023-02-28 14:19:17,32021,-77.091991,38.982456
48th Pl & MacArthur Blvd NW,11208,2018-09-15 12:46:36,2023-02-28 16:32:50,31322,-77.0957824587822,38.9170363119413
4th & C St SW,448795,2012-01-27 12:28:37,2023-02-28 23:07:35,31243,-77.01770067214966,38.88637194054526
4th & College St NW,1072,2022-09-14 20:41:55,2023-02-28 22:39:22,31138,-77.01813519001007,38.92123296360907
4th & D St NW / Judiciary Square,179711,2011-06-25 09:59:09,2023-02-28 20:46:12,31621,-77.016106,38.895344
4th & E St SW,329429,2011-12-01 16:58:01,2023-03-01 12:11:49,31244,-77.017445,38.88412
4th & East Capitol St NE,328049,2010-10-29 17:35:57,2023-02-28 21:40:56,31618,-77.000349,38.889955
